folder,ra_deg,dec_deg,gmag
TRES-1,286.00376593096246,36.66570141298247,7.745397090911865
TRES-1,286.3534658820316,36.94084227289313,8.338348388671875
TRES-1,285.93562132418634,36.14216454516548,8.671137809753418
TRES-1,286.35970058363415,36.92407075109523,9.098782539367676
TRES-1,285.84045729566174,36.412870695991714,9.282015800476074
TRES-1,286.0996510733694,36.703776544498005,9.30109977722168
TRES-1,286.36249723685006,37.025986648479375,9.393753051757812
TRES-1,286.26324831302054,36.195681720361804,9.40652084350586
TRES-1,285.9204329471645,36.9079913659642,9.482115745544434
TRES-1,285.89569400774684,37.08328862792329,9.787920951843262
TRES-1,286.2887525761898,36.17595388661695,9.888687133789062
TRES-1,286.1017014783444,37.124166452995226,9.889974594116211
TRES-1,286.5264410549502,36.561837267525405,9.980938911437988
TRES-1,285.84934657026673,36.47612771078882,10.132506370544434
TRES-1,285.619684770584,36.73922982262623,10.189408302307129
TRES-1,286.42542295401375,37.04376389421855,10.324443817138672
TRES-1,285.92262709646354,36.91694068872028,10.371574401855469
TRES-1,286.0355026722302,36.1755579473588,10.409706115722656
TRES-1,286.27421964420324,36.711405169546914,10.413744926452637
TRES-1,286.38287794613325,37.024438481521734,10.423653602600098
TRES-1,286.3767549254136,36.74988433914261,10.432676315307617
TRES-1,285.5216521801031,36.85978897004629,10.437560081481934
TRES-1,285.8557860474231,36.77080790191206,10.48422908782959
TRES-1,286.671886248441,36.70923144418581,10.484929084777832
TRES-1,286.0854635630483,36.29267579990154,10.574835777282715
TRES-1,286.4526538817142,36.69371116614068,10.642791748046875
TRES-1,286.52854877376166,36.37382208601504,10.66072940826416
TRES-1,286.2042421343188,36.91443931452231,10.669615745544434
TRES-1,286.28913449092306,36.63562631159682,10.711502075195312
TRES-1,285.672419677661,36.770194782581534,10.724539756774902
TRES-1,285.51808151609356,36.66312326705142,10.792387962341309
TRES-1,285.40295166950216,36.822103558765264,10.797886848449707
TRES-1,285.9139417216829,36.6237875673775,10.808095932006836
