hours,rel_flux,rel_flux_err
0.552,1.0113,0.0135
0.744,0.9436,0.0255
0.888,0.9633,0.0074
1.24,1.015,0.0009
1.608,1.0203,0.0073
1.92,0.9762,0.0434
2.088,0.9229,0.0423
2.292,1.0645,0.0082
