hours,rel_flux,rel_flux_err
0.232,0.9856,0.0244
0.408,1.0361,0.0246
0.552,1.0177,0.0436
0.72,0.9379,0.0119
0.912,1.023,0.0147
1.08,0.9785,0.022
1.224,0.9708,0.0043
1.584,0.9398,0.0096
1.752,1.0278,0.0109
1.92,1.0255,0.0045
2.112,1.0434,0.0035
2.256,0.9548,0.0373
2.424,0.9922,0.0327
2.58,1.0181,0.0424
2.712,1.0481,0.004
