file,mjd_obs,ut_time,x,y,weather,target_flux,ensemble_flux,rel_flux,check_flux,status,used,comp4_flux,comp10_flux,comp13_flux
TRES-5260904041043.fits,61287.174,04:10:33,267.43,272.19,94,736.2,77025.0,1.535,0.9382,position,no,36900.3,21212.6,18912.1
TRES-5260904041229.fits,61287.175,04:12:00,265.06,212.3,94,636.4,75771.4,1.1182,0.9967,position,no,36413.4,21130.9,18227.1
TRES-5260904041515.fits,61287.177,04:14:52,262.37,215.45,94,597.4,79567.7,0.9968,0.9844,ok,yes,37954.6,22632.5,18980.6
TRES-5260904041817.fits,61287.179,04:17:45,260.03,216.35,94,648.9,78039.6,1.0957,0.9914,outlier,no,37301.4,21837.9,18900.3
TRES-5260904042115.fits,61287.181,04:20:38,260.02,219.17,94,611.5,79786.4,1.0176,1.0006,ok,yes,38367.1,22252.6,19166.7
TRES-5260904042415.fits,61287.184,04:24:57,254.58,214.17,94,635.0,81233.5,1.0015,1.0427,ok,yes,39620.3,22631.9,18981.2
TRES-5260904042715.fits,61287.186,04:27:50,256.36,216.19,94,592.9,82041.5,0.9376,1.0577,ok,yes,40407.3,22701.9,18932.3
TRES-5260904043015.fits,61287.188,04:30:43,256.29,215.03,94,619.7,81228.2,0.9865,1.0336,ok,yes,39514.9,22794.4,18919.0
TRES-5260904043316.fits,61287.19,04:33:36,255.0,208.59,100,670.6,77303.7,1.0975,0.9939,ok,yes,36698.0,22260.4,18345.3
TRES-5260904043615.fits,61287.192,04:36:28,254.26,214.16,100,609.0,77306.1,1.008,0.9709,ok,yes,36318.8,22105.6,18881.7
TRES-5260904043915.fits,61287.194,04:39:21,256.48,213.3,100,653.6,80014.3,1.0523,1.0089,ok,yes,38418.5,22640.3,18955.6
TRES-5260904044215.fits,61287.196,04:42:14,256.33,212.22,100,647.8,78370.7,1.0613,0.9778,ok,yes,36993.6,22450.0,18927.1
TRES-5260904044516.fits,61287.198,04:45:07,252.68,210.69,100,595.2,77005.6,0.9741,0.9832,ok,yes,36307.5,22268.1,18430.0
TRES-5260904044816.fits,61287.2,04:48:00,251.6,211.82,100,584.4,81720.1,0.9,1.0622,position,no,40087.8,22578.5,19053.7
TRES-5260904045115.fits,61287.202,04:50:52,255.54,211.06,100,564.9,78104.8,0.9228,0.9785,ok,yes,36835.8,22380.3,18888.7
TRES-5260904045415.fits,61287.204,04:53:45,256.56,211.63,100,587.6,81118.2,0.9295,1.0388,ok,yes,39512.4,22849.2,18756.7
TRES-5260904045717.fits,61287.206,04:56:38,256.03,210.85,100,597.1,79360.2,0.9614,0.9902,ok,yes,37676.4,22697.4,18986.4
TRES-5260904050015.fits,61287.209,05:00:57,259.22,206.23,100,632.5,78609.1,1.0291,0.9789,ok,yes,37123.4,22370.7,19114.9
TRES-5260904050315.fits,61287.211,05:03:50,257.66,205.51,100,624.7,80789.0,0.981,1.0233,ok,yes,38979.9,22651.1,19158.0
TRES-5260904050616.fits,61287.213,05:06:43,256.42,206.61,100,637.5,78154.0,1.0327,0.9988,ok,yes,37211.0,22130.9,18812.1
TRES-5260904050915.fits,61287.215,05:09:36,256.67,208.23,100,638.4,77417.9,1.0494,0.9763,ok,yes,36457.9,22217.1,18742.9
TRES-5260904051216.fits,61287.217,05:12:28,257.63,206.88,100,592.0,79648.3,0.9462,0.9994,ok,yes,37982.7,22561.4,19104.2
TRES-5260904051516.fits,61287.219,05:15:21,261.35,207.94,100,624.6,79320.2,1.0204,0.9784,ok,yes,37551.9,22624.2,19144.1
TRES-5260904051816.fits,61287.221,05:18:14,259.61,206.81,100,611.7,81009.7,0.9688,1.0053,ok,yes,38817.4,22999.0,19193.2
TRES-5260904052115.fits,61287.223,05:21:07,257.99,206.69,100,593.4,77537.4,0.9751,0.9665,ok,yes,36337.1,22748.7,18451.6
TRES-5260904052415.fits,61287.225,05:24:00,260.1,203.43,100,569.5,77846.0,0.9323,0.9778,outlier,no,36722.5,22676.2,18447.3
TRES-5260904052715.fits,61287.227,05:26:52,260.34,207.95,100,589.5,78715.2,0.9665,0.9843,ok,yes,37349.2,22525.4,18840.7
TRES-5260904053016.fits,61287.229,05:29:45,260.32,205.83,100,329.0,51190.2,0.8248,1.1618,outlier,no,26385.2,13633.2,11171.7
TRES-5260904053315.fits,61287.231,05:32:38,260.39,204.0,100,204.6,30273.0,0.8637,1.2284,cloud,no,16013.2,7825.9,6433.9
TRES-5260904053615.fits,61287.234,05:36:57,258.49,201.26,100,670.7,37657.0,2.2428,1.1241,cloud,no,19031.6,10179.5,8445.9
TRES-5260904053916.fits,61287.236,05:39:50,259.37,201.81,100,545.9,70516.3,0.9796,1.0415,ok,yes,34328.5,19744.3,16443.5
TRES-5260904054215.fits,61287.238,05:42:43,260.52,205.9,100,523.5,71949.7,0.9347,1.1192,ok,yes,36420.2,19276.6,16252.9
TRES-5260904054515.fits,61287.24,05:45:36,262.28,200.93,100,560.8,77327.1,0.9264,1.0168,ok,yes,37263.0,21576.6,18487.6
TRES-5260904054815.fits,61287.242,05:48:28,261.4,202.96,100,590.3,78809.4,0.9583,1.0301,ok,yes,38237.2,22116.5,18455.7
TRES-5260904055116.fits,61287.244,05:51:21,261.15,201.57,100,621.3,79249.2,0.9985,1.0066,ok,yes,37962.1,22451.3,18835.8
TRES-5260904055415.fits,61287.246,05:54:14,261.12,203.25,100,621.4,77421.8,1.0267,1.0202,ok,yes,37373.8,21506.4,18541.6
TRES-5260904055715.fits,61287.248,05:57:07,262.32,202.35,100,625.5,77434.2,1.0358,0.9674,ok,yes,36377.4,22632.0,18424.8
TRES-5260904060015.fits,61287.25,06:00:00,261.28,203.31,100,638.8,77874.7,1.0501,0.9922,ok,yes,37058.0,22027.1,18789.6
TRES-5260904060317.fits,61287.252,06:02:52,263.47,202.2,100,636.6,79377.4,1.0328,1.0194,ok,yes,38364.5,22037.5,18975.5
TRES-5260904060615.fits,61287.254,06:05:45,265.17,201.44,100,615.2,78274.2,1.0172,0.9709,ok,yes,36924.1,22668.1,18681.9
TRES-5260904060916.fits,61287.256,06:08:38,262.4,198.81,100,641.1,79380.2,1.0266,1.0075,ok,yes,38037.2,22096.0,19247.0
TRES-5260904061215.fits,61287.259,06:12:57,263.15,198.74,100,680.7,77052.2,1.1261,1.0323,outlier,no,37413.0,21345.5,18293.6
TRES-5260904061515.fits,61287.261,06:15:50,263.1,198.93,100,644.8,79064.3,1.0399,0.9578,ok,yes,36914.8,22946.8,19202.8
TRES-5260904061816.fits,61287.263,06:18:43,264.38,199.16,100,648.6,79457.9,1.0469,1.025,ok,yes,38490.3,21974.2,18993.4
TRES-5260904062115.fits,61287.265,06:21:36,266.38,200.83,100,611.9,81295.0,0.9774,1.0169,ok,yes,39319.7,22862.4,19112.9
TRES-5260904062415.fits,61287.267,06:24:28,264.56,198.9,100,656.2,81628.2,1.0311,1.0598,ok,yes,40225.2,22372.1,19031.0
TRES-5260904062715.fits,61287.269,06:27:21,265.52,199.15,100,529.6,79978.7,0.8531,0.9825,ok,yes,37937.4,22942.9,19098.4
TRES-5260904063015.fits,61287.271,06:30:14,268.13,198.44,100,585.8,79489.7,0.9579,0.9667,ok,yes,37460.3,22841.0,19188.4
TRES-5260904063315.fits,61287.273,06:33:07,267.64,197.93,100,563.5,78634.0,0.9283,1.0233,ok,yes,38147.5,21696.8,18789.7
TRES-5260904063615.fits,61287.275,06:36:00,269.41,194.9,100,619.5,77390.8,1.0363,0.995,ok,yes,37010.9,21395.7,18984.2
TRES-5260904063917.fits,61287.277,06:38:52,267.21,194.29,100,604.4,76518.4,1.0119,0.9525,ok,yes,35680.0,22640.4,18198.0
TRES-5260904064215.fits,61287.279,06:41:45,269.33,195.18,100,633.8,77403.0,1.0605,0.9885,ok,yes,36892.4,22210.9,18299.7
TRES-5260904064515.fits,61287.281,06:44:38,271.17,192.89,100,564.2,77504.2,0.9442,1.0307,outlier,no,37771.8,21020.1,18712.4
TRES-5260904064816.fits,61287.284,06:48:57,269.52,193.56,100,612.0,80956.2,0.9757,1.0263,ok,yes,39322.0,22544.4,19089.8
TRES-5260904065116.fits,61287.286,06:51:50,271.63,192.58,100,627.1,77403.3,1.0521,1.0179,ok,yes,37492.4,21176.4,18734.5
TRES-5260904065416.fits,61287.288,06:54:43,273.55,191.92,100,620.7,77674.5,1.044,1.0279,ok,yes,37865.4,21713.7,18095.4
TRES-5260904065715.fits,61287.29,06:57:36,274.46,191.42,100,554.2,78609.7,0.9234,0.988,outlier,no,37567.1,22047.6,18995.0
