hours,rel_flux,rel_flux_err
0.048,0.9714,0.0288
0.432,1.0142,0.034
1.072,1.0181,0.022
1.392,1.0224,0.0142
1.752,1.0109,0.0179
1.968,1.0189,0.0036
2.256,1.014,0.0095
2.724,1.0271,0.0221
3.08,1.0096,0.0088
3.24,0.9418,0.0108
3.552,0.9646,0.0071
