hours,rel_flux,rel_flux_err
0.3984,1.0216,0.0214
0.576,1.0178,0.0237
0.72,0.9504,0.0189
0.928,0.9876,0.0224
1.08,0.9935,0.0075
1.248,0.978,0.0427
1.416,1.0338,0.0205
1.584,0.9863,0.0514
1.752,0.9518,0.0275
1.92,0.9837,0.0361
2.076,0.9432,0.0062
2.256,0.9784,0.0215
2.424,1.0265,0.0312
2.592,1.065,0.0492
2.784,0.8894,0.0234
2.904,0.9236,0.1943
3.048,1.0583,0.0008
3.216,1.0561,0.0181
3.408,1.0614,0.034
3.576,1.0851,0.0102
