hours,rel_flux,rel_flux_err
0.048,0.8114,0.2754
0.216,0.7646,0.1678
0.384,1.2401,0.1854
0.912,1.1546,0.0816
1.104,0.9149,0.2703
1.296,0.96,0.3858
1.464,0.7569,0.2119
1.56,1.1365,0.0961
1.752,0.6189,0.0212
1.928,0.8215,0.2958
2.088,0.9556,0.0158
2.616,1.0509,0.2213
2.736,1.3212,0.057
3.048,0.9328,0.2384
3.24,1.0958,0.0873
