hours,rel_flux,rel_flux_err
0.414,1.0114,0.0225
0.576,1.0199,0.0238
0.72,0.9522,0.019
0.928,0.9893,0.0224
1.08,0.9953,0.0075
1.248,0.9794,0.0427
1.416,1.035,0.0205
1.584,0.9875,0.0514
1.752,0.9527,0.0275
1.92,0.9844,0.0362
2.076,0.9441,0.0062
2.256,0.9791,0.0214
2.424,1.0274,0.0313
2.592,1.0656,0.0492
2.784,0.8899,0.0235
2.904,0.9239,0.1942
3.048,1.0589,0.0009
3.216,1.0568,0.0182
3.408,1.0622,0.034
3.576,1.0858,0.0102
