night,target,session,file,mjd_obs,x,y,snr,detected
2026-08-17,TRES-5,session_01,TRES-5260817094610.fits,61269.407,314.65,201.92,32.4,yes
2026-08-17,TRES-5,session_01,TRES-5260817094753.fits,61269.408,316.66,206.88,33.1,yes
2026-08-17,TRES-5,session_01,TRES-5260817094938.fits,61269.409,318.54,207.94,32.4,yes
2026-08-17,TRES-5,session_01,TRES-5260817095122.fits,61269.411,318.13,207.67,26.3,yes
2026-08-17,TRES-5,session_01,TRES-5260817095415.fits,61269.413,318.46,204.9,32.8,yes
2026-08-17,TRES-5,session_01,TRES-5260817095716.fits,61269.415,319.63,203.8,38.0,yes
2026-08-17,TRES-5,session_01,TRES-5260817100015.fits,61269.417,321.8,212.68,33.5,yes
2026-08-17,TRES-5,session_01,TRES-5260817100315.fits,61269.419,324.03,209.63,35.7,yes
2026-08-17,TRES-5,session_01,TRES-5260817100616.fits,61269.421,323.03,208.5,28.8,yes
2026-08-17,TRES-5,session_01,TRES-5260817100915.fits,61269.423,325.72,206.08,31.3,yes
2026-08-17,TRES-5,session_01,TRES-5260817101216.fits,61269.425,328.85,210.96,31.5,yes
2026-08-17,TRES-5,session_01,TRES-5260817101515.fits,61269.427,329.9,206.98,27.7,yes
2026-08-17,TRES-5,session_01,TRES-5260817101815.fits,61269.429,331.84,205.95,22.9,yes
2026-08-17,TRES-5,session_01,TRES-5260817102116.fits,61269.431,331.71,203.97,24.7,yes
2026-08-17,TRES-5,session_01,TRES-5260817102415.fits,61269.434,334.71,210.85,26.5,yes
2026-08-17,TRES-5,session_01,TRES-5260817102715.fits,61269.436,337.78,208.44,33.1,yes
2026-08-17,TRES-5,session_01,TRES-5260817103015.fits,61269.438,337.91,209.53,29.7,yes
2026-08-17,TRES-5,session_01,TRES-5260817103316.fits,61269.44,338.7,213.88,29.0,yes
2026-08-17,TRES-5,session_01,TRES-5260817103616.fits,61269.442,341.67,210.03,27.2,yes
2026-08-17,TRES-5,session_01,TRES-5260817103915.fits,61269.444,343.12,210.63,24.5,yes
2026-08-17,TRES-5,session_01,TRES-5260817104216.fits,61269.446,342.99,206.59,25.4,yes
2026-08-17,TRES-5,session_01,TRES-5260817104515.fits,61269.448,345.89,209.93,24.5,yes
2026-08-17,TRES-5,session_01,TRES-5260817104815.fits,61269.45,346.1,211.59,23.8,yes
2026-08-17,TRES-5,session_01,TRES-5260817105115.fits,61269.452,349.01,209.56,27.9,yes
2026-08-17,TRES-5,session_01,TRES-5260817105415.fits,61269.454,350.19,217.41,22.3,yes
2026-08-17,TRES-5,session_01,TRES-5260817105715.fits,61269.456,350.02,212.47,23.4,yes
2026-08-17,TRES-5,session_01,TRES-5260817110015.fits,61269.459,353.66,209.99,23.8,yes
2026-08-17,TRES-5,session_01,TRES-5260817110315.fits,61269.461,353.96,206.84,24.5,yes
2026-08-17,TRES-5,session_01,TRES-5260817110616.fits,61269.463,361.6,219.4,9.7,yes
2026-08-17,TRES-5,session_01,TRES-5260817110915.fits,61269.465,356.93,214.0,18.6,yes
2026-08-17,TRES-5,session_01,TRES-5260817111215.fits,61269.467,358.04,212.05,21.4,yes
